EPID,PartNumber,,,
110174612,93370,,,
110174642,22755,,,
110174662,49386,,,
110174889,49772,,,
110175259,23400,,,
110175474,22616,,,
110175498,49189,,,
110175504,23490,,,
110175508,93145,,,
110175630,49640,,,
110176985,23327,,,
110177075,49461,,,
110177105,49643,,,
110177686,23331,,,
110178904,49758,,,
110179356,49046,,,
110179476,93660,,,
110180289,23895,,,
110180402,49163,,,
110180412,93187,,,
110181837,23471,,,
110182535,93485,,,
110183671,93395,,,
110183691,50219,,,
110183871,93450,,,
110184343,23297,,,
110184353,93316,,,
110184408,49563,,,
110184428,23224,,,
110184438,23897,,,
110184949,49240,,,
110184959,23283,,,
110185130,23967,,,
110185242,49770,,,
110185252,23771,,,
110185262,23874,,,
110187425,93466,,,
110188150,23350,,,
110188160,93360,,,
110188420,49170,,,
110188454,22629,,,
110188514,49686,,,
110188644,93163,,,
110188684,23750,,,
110193789,23643,,,
110193849,49552,,,
110193899,49931,,,
110193978,23411,,,
110193988,93351,,,
110194069,93379,,,
110194236,23655,,,
110194246,93192,,,
110194362,49130,,,
110194376,93383,,,
110194506,23770,,,
110194507,23143,,,
110194527,93462,,,
110194906,49782,,,
110194946,23521,,,
110194996,93268,,,
110197118,23298,,,
110197121,23351,,,
110197155,49530,,,
110197165,23867,,,
110197308,49657,,,
110197318,49404,,,
110197351,23742,,,
110197361,95476,,,
110197401,23767,,,
110199553,49342,,,
110200276,93684,,,
110200296,23483,,,
110200366,49706,,,
110200376,49607,,,
110200943,50220,,,
110201000,23532,,,
110201013,25202,,,
110201020,23268,,,
110202320,23535,,,
110202330,49877,,,
110202340,93238,,,
110202360,22765,,,
110202420,49571,,,
110202430,93392,,,
110202634,23807,,,
110202751,50838,,,
110202824,23908,,,
110202874,93130,,,
110202894,93198,,,
110207029,49262,,,
110207089,49679,,,
110207099,93312,,,
110207219,49322,,,
110207269,55320,,,
110207397,49984,,,
110207782,93385,,,
110207822,93420,,,
110207832,49498,,,
110207922,49900,,,
110207932,23690,,,
110208012,50801,,,
110208817,49365,,,
110208837,49962,,,
110208867,93475,,,
110208967,23495,,,
110208987,23416,,,
110210295,26214,,,
110210305,93288,,,
110211238,23892,,,
110211348,49705,,,
110211478,49250,,,
110212074,49977,,,
110212084,23702,,,
110212114,49898,,,
110212134,93663,,,
110213189,49582,,,
110213199,93391,,,
110214346,49029,,,
110214476,23329,,,
110214803,49600,,,
110214911,23985,,,
110214971,49534,,,
110214981,49132,,,
110215051,23296,,,
110215243,49849,,,
110215253,93241,,,
110215263,93167,,,
110216195,49762,,,
110216215,23772,,,
110216245,23170,,,
110216580,50870,,,
110216769,93430,,,
110216820,50877,,,
110216940,93214,,,
110217350,49886,,,
110217370,23542,,,
110217372,93437,,,
110219835,49862,,,
110219845,49596,,,
110220403,49780,,,
110220423,23898,,,
110220453,93260,,,
110222394,49987,,,
110222414,23513,,,
110222424,49161,,,
110222434,93402,,,
110222534,49325,,,
110222544,23705,,,
110222574,49693,,,
110223027,93287,,,
110223057,49406,,,
110223207,23868,,,
110223217,23382,,,
110223237,93258,,,
110225563,23996,,,
110225988,23758,,,
110226018,23489,,,
110226282,49258,,,
110226292,50806,,,
110226302,93376,,,
110226422,49990,,,
110227311,23253,,,
110227501,27503,,,
110227511,49243,,,
110227531,49527,,,
110228166,23817,,,
110228196,93608,,,
110228336,93418,,,
110228466,23982,,,
110228496,26202,,,
110228516,49327,,,
110228566,23145,,,
110228586,49438,,,
110228807,93304,,,
110228817,50601,,,
110228855,93350,,,
110228875,49573,,,
110229055,23355,,,
110232068,49875,,,
110232078,93237,,,
110232088,49429,,,
110234027,23844,,,
110234047,49191,,,
110234057,23414,,,
110234363,49446,,,
110234436,23893,,,
110234446,93465,,,
110234466,23410,,,
110234503,49197,,,
110234513,50303,,,
110235990,22959,,,
110236020,49179,,,
110236070,50824,,,
110236100,23313,,,
110236110,93398,,,
110236220,23142,,,
110236250,55323,,,
110236260,23984,,,
110237294,23696,,,
110237314,23348,,,
110237364,93122,,,
110237418,49580,,,
110237554,22962,,,
110237584,46125,,,
110237664,93274,,,
110237674,93151,,,
110238056,93988,,,
110238066,49501,,,
110239809,49260,,,
110239859,49669,,,
110239879,93104,,,
110239889,49308,,,
110239929,49500,,,
110239982,49071,,,
110240202,49033,,,
110240272,93227,,,
110240302,23248,,,
110240312,49732,,,
110240392,93134,,,
110242885,23697,,,
110243307,49763,,,
110243397,93661,,,
110246104,22832,,,
110246514,49537,,,
110246544,23359,,,
110246574,93142,,,
110246658,23836,,,
110246666,49195,,,
110246676,23367,,,
110246698,23937,,,
110246776,23939,,,
110246781,49265,,,
110246971,23437,,,
110247682,22922,,,
110247689,49532,,,
110248193,23684,,,
110248543,93611,,,
110249359,23290,,,
110249369,49382,,,
110249470,49523,,,
110249530,23137,,,
110249550,24208,,,
110249560,23251,,,
110249620,49694,,,
110249640,22927,,,
110249660,23362,,,
110252355,49494,,,
110254433,23875,,,
110255120,22622,,,
110255200,23289,,,
110257107,49293,,,
110257237,50821,,,
110257357,93989,,,
110257457,93381,,,
110257774,23651,,,
110257794,23240,,,
110257844,23506,,,
110257953,22928,,,
110258044,49664,,,
110258890,23744,,,
110258900,50875,,,
110259719,23951,,,
110259739,23310,,,
110259796,93378,,,
110259799,49143,,,
110259806,49483,,,
110259816,49734,,,
110259849,23343,,,
110259856,49985,,,
110259869,93249,,,
110260076,93419,,,
110260096,23447,,,
110260106,46201,,,
110260136,93613,,,
110260146,50833,,,
110260528,25204,,,
110260578,23749,,,
110260588,93250,,,
110260778,46249,,,
110260818,23232,,,
110261091,93224,,,
110262505,23748,,,
110262515,23634,,,
110262605,23233,,,
110262625,93328,,,
110262635,49020,,,
110263357,49868,,,
110263367,49929,,,
110266428,49318,,,
110266478,23315,,,
110266488,49932,,,
110266933,50888,,,
110267063,23622,,,
110268066,49597,,,
110269851,23620,,,
110269861,23234,,,
110269968,55321,,,
110270251,49261,,,
110270291,49126,,,
110271424,93642,,,
110271454,49222,,,
110271734,49785,,,
110271784,23537,,,
110271814,93202,,,
110271844,22621,,,
110271894,93694,,,
110271904,49463,,,
110272812,24209,,,
110272822,49632,,,
110272902,49695,,,
110273659,49995,,,
110273739,93626,,,
110273759,49340,,,
110273849,49637,,,
110273899,50668,,,
110274029,22756,,,
110274049,93161,,,
110275995,22623,,,
110276055,93129,,,
110276135,23751,,,
110278878,93231,,,
110279028,49264,,,
110279078,23950,,,
110279088,23312,,,
110280026,23624,,,
110280293,23340,,,
110280333,93687,,,
110280343,50802,,,
110280483,23378,,,
110280523,49978,,,
110280533,93993,,,
110280543,93382,,,
110280544,49367,,,
110280554,49661,,,
110280583,23954,,,
110280593,49499,,,
110281440,27403,,,
110281500,93223,,,
110281584,24203,,,
110281614,49610,,,
110281862,49110,,,
110281951,49916,,,
110281961,22640,,,
110282999,49806,,,
110283089,50879,,,
110285725,23346,,,
110286285,49979,,,
110286295,23721,,,
110286325,93421,,,
110286335,23316,,,
110287843,23740,,,
110287873,23130,,,
110287883,49102,,,
110288640,49156,,,
110289543,49730,,,
110290057,49805,,,
110290247,50842,,,
110290290,23747,,,
110290297,23405,,,
110290300,93641,,,
110290307,23818,,,
110290337,49082,,,
110290387,93649,,,
110290397,23138,,,
110291828,23713,,,
110292008,50669,,,
110292018,23823,,,
110292098,23293,,,
110292108,49383,,,
110292304,49338,,,
110292324,23413,,,
110292334,23994,,,
110292384,93244,,,
110293182,23433,,,
110293192,93602,,,
110293222,49431,,,
110293312,50604,,,
110293706,23969,,,
110295059,93622,,,
110295079,93695,,,
110295089,49466,,,
110295931,22926,,,
110295971,93664,,,
110296241,93685,,,
110296281,23420,,,
110296371,23380,,,
110296381,50603,,,
110296421,49369,,,
110296431,93417,,,
110296441,23271,,,
110296451,93105,,,
110296975,49994,,,
110296995,23966,,,
110297005,49323,,,
110297035,49112,,,
110297195,23909,,,
110297247,49759,,,
110297315,22619,,,
110299077,23691,,,
110299097,50836,,,
110299718,26227,,,
110299758,26201,,,
110300360,49835,,,
110300490,49629,,,
110303006,49800,,,
110303666,93487,,,
110305251,49631,,,
110306171,49528,,,
110306191,93625,,,
110307512,23146,,,
110307742,23559,,,
110307892,23223,,,
110307912,93222,,,
110308927,23257,,,
110308939,50202,,,
110308949,93496,,,
110309159,49894,,,
110310604,93393,,,
110310724,93204,,,
110310754,93372,,,
110311655,50859,,,
